"","Sector","Total Economic mill dollar","Total value Added mill dollar","Employee Com mill dollar","Net Tax mill dollar","Profits mill dollar","Direct Economic mill dollar","Direct Economic","CO t","NH3 t","NOx t","PM10 t","PM2.5 t","SO2 t","VOC t","Total Energy TJ","Coal TJ","NatGase TJ","Petrol TJ","Bio/Waste TJ","NonFossElec TJ","Total t CO2e","CO2 Fossil t CO2e","CO2 Process t CO2e","CH4 t CO2e","N2O t CO2e","HFC/PFCs t CO2e","Fugitive kg","Stack kg","Total Air kg","Surface water kg","U'ground Water kg","Land kg","Offiste kg","POTW Metal kg","POTW Nonmetal kg","Water Withdrawals Kgal"
"289",336120,2.2e-05,3e-06,3e-06,0,0,0,0,3e-06,0,3e-06,1e-06,0,2e-06,7e-06,5.2e-05,1e-06,4.4e-05,3e-06,1e-06,3e-06,0.002504,0.002504,0,0,0,0,0.000157,0.001461,0.001618,0,0,1e-06,8.7e-05,1e-05,0.000264,0.000909
"290",336211,3.4e-05,1.3e-05,7e-06,0,6e-06,1e-06,2.94,4.8e-05,0,4e-06,1e-06,1e-06,1e-06,2.3e-05,1.9e-05,0,9e-06,1e-06,2e-06,8e-06,0.000511,0.000511,0,0,0,0,0.001561,0.004898,0.006459,0,0,1.4e-05,0.000272,2.7e-05,0.000513,0.002812
"291",336212,1.2e-05,3e-06,3e-06,0,0,1e-06,8.33,0,0,0,1e-06,0,0,7e-06,8e-06,0,4e-06,0,1e-06,3e-06,0.000215,0.000215,0,0,0,0,0.00017,0.000958,0.001128,0,0,2e-06,0.000176,0,3.7e-05,0.001142
"292",336213,4e-06,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,1e-06,1e-06,0,1e-06,0,0,0,3.1e-05,3.1e-05,0,0,0,0,4.3e-05,0.000266,0.00031,0,0,0,0,0,0,0.012429
"293",336214,3.1e-05,8e-06,7e-06,0,0,1e-06,3.23,1e-06,0,1e-06,0,0,1e-06,1.2e-05,1.8e-05,0,1e-05,1e-06,1e-06,5e-06,0.000588,0.000588,0,0,0,0,0.000547,0.003158,0.003705,1e-06,0,0,0.00014,0,0,0.156426
"294",336300,0.005374,0.001591,0.001213,2.7e-05,0.000351,7.7e-05,1.43,0.001888,1.2e-05,0.000338,7.7e-05,5e-05,0.000179,0.000498,0.004884,4.9e-05,0.002017,0.000146,0.000255,0.002417,0.11624,0.11624,0,0,0,0,0.019873,0.101675,0.121548,0.000253,0,0.003985,0.118943,0.003863,0.035521,0.858572
"295",336411,4.5e-05,1.6e-05,1e-05,0,6e-06,0,0,8e-06,0,1e-06,0,0,1e-06,5e-06,1.6e-05,0,6e-06,1e-06,2e-06,7e-06,0.000361,0.000361,0,0,0,0,0.000127,0.000253,0.00038,1.8e-05,0,0,2.8e-05,0,0.000146,0.000844
"296",336412,8e-05,3e-05,2e-05,0,1e-05,0,0,8e-06,0,1e-05,1e-06,1e-06,6e-06,9e-06,6.4e-05,1e-06,2.9e-05,6e-06,4e-06,2.5e-05,0.001935,0.001935,0,0,0,0,0.00011,0.000406,0.000516,4.8e-05,0,4e-06,0.000423,5e-06,0.001818,0.00636
"297",336413,9.6e-05,4.1e-05,3.5e-05,0,5e-06,2e-06,2.08,3e-06,0,7e-06,1e-06,1e-06,7e-06,1.1e-05,0.00013,1e-06,5.9e-05,1.7e-05,5e-06,4.9e-05,0.004251,0.004251,0,0,0,0,0.001637,0.001295,0.002932,1e-06,2.2e-05,6e-06,0.000723,6e-06,0.001975,0.009363
"298",336414,1.3e-05,5e-06,4e-06,0,1e-06,0,0,0,0,0,0,0,0,1e-06,6e-06,0,2e-06,0,1e-06,2e-06,0.000142,0.000142,0,0,0,0,0,1.1e-05,1.1e-05,2.2e-05,0,0,0,0,0,4.2e-05
"299",336500,0.000809,0.000296,0.000169,2e-06,0.000125,0,0,5.2e-05,1e-06,0.000131,1.7e-05,9e-06,0.000255,0.000587,0.000509,5e-06,0.000304,2.2e-05,3.8e-05,0.00014,0.017302,0.017302,0,0,0,0,0.020989,0.047922,0.068911,8.5e-05,0,7e-06,0.011391,1.9e-05,0,0.04686
"300",336611,0.000252,0.000108,9.7e-05,1e-06,1e-05,3e-06,1.19,0.006013,0,0.00021,2.8e-05,2.1e-05,3.8e-05,0.000512,0.000172,2e-06,5.4e-05,8e-06,1.2e-05,9.5e-05,0.003498,0.003498,0,0,0,0,0.012158,0.002145,0.014303,0.000207,0,0.000874,0.003368,2.4e-05,1e-06,0.040168
"301",336612,9e-06,3e-06,2e-06,0,1e-06,0,0,5e-06,0,0,0,0,0,1.4e-05,5e-06,0,3e-06,0,0,2e-06,0.000166,0.000166,0,0,0,0,0.001161,0.003629,0.00479,0,0,0,2.3e-05,0,0,0.001196
"302",336991,3e-05,1e-05,6e-06,0,4e-06,0,0,2e-06,0,1e-06,0,0,1e-06,1e-06,1.9e-05,0,1e-05,1e-06,1e-06,7e-06,0.000592,0.000592,0,0,0,0,8.1e-05,0.000308,0.000389,0,0,0,0.00013,1.7e-05,3e-05,0.002075
"303",336992,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-06,7e-06,0,0,0,0,6e-06,6.5e-05,7.1e-05,0,0,0,4e-05,0,0,3.2e-05
"304",336999,2.6e-05,8e-06,3e-06,0,5e-06,0,0,1e-06,0,1e-06,0,0,0,2e-06,1.3e-05,0,7e-06,1e-06,1e-06,4e-06,0.000397,0.000397,0,0,0,0,6.7e-05,0.000598,0.000665,0,0,0,2.9e-05,0,0,0.00123
"305",337110,0.000121,3.8e-05,3.8e-05,1e-06,0,1e-06,0.826,1e-05,0,5e-06,9e-06,5e-06,2e-06,0.000274,0.000109,1e-06,4.2e-05,6e-06,2.2e-05,3.8e-05,0.003039,0.003039,0,0,0,0,0.002966,0.023577,0.026543,0,0,2.7e-05,0.000289,0,1e-06,0.112256
"306",337121,4e-06,2e-06,1e-06,0,0,0,0,0,0,0,0,0,0,6e-06,2e-06,0,1e-06,0,1e-06,1e-06,4.2e-05,4.2e-05,0,0,0,0,4e-06,4.1e-05,4.5e-05,0,0,0,0,0,0,0.000278
"307",337122,3e-06,1e-06,1e-06,0,0,0,0,1e-06,0,1e-06,1e-06,0,0,1e-05,3e-06,0,1e-06,0,0,2e-06,6e-05,6e-05,0,0,0,0,3.4e-05,0.000428,0.000462,0,0,1e-06,3e-06,0,0,0.000344
"308",337127,2.1e-05,9e-06,6e-06,0,3e-06,1.1e-05,52.4,3e-06,0,1e-06,1e-06,0,0,3.4e-05,2e-05,0,9e-06,1e-06,3e-06,7e-06,0.000554,0.000554,0,0,0,0,5.2e-05,0.00037,0.000422,0,0,0,6.8e-05,0,0,0.003134
"309",337212,1.2e-05,6e-06,4e-06,0,2e-06,3e-06,25,1e-06,0,0,0,0,0,1.6e-05,8e-06,0,5e-06,0,2e-06,1e-06,0.000306,0.000306,0,0,0,0,2.4e-05,7.7e-05,1e-04,0,0,0,0,0,0,0.001728
